mobile-categories	name	description	price	image-src
Mi Phones	Xiaomi Redmi 5 (64GB)	"Boasting a big 5.7-inch HD+ display, Xiaomi Redmi 5 64GB is ergonomically built. The smartphone ships with a wider 18:9 display and is powered by an octa-core Snapdragon 450 processor and 4GB RAM. For storing apps and data, there is 64GB of expandable onboard storage space. Equipped with a 12MP rear and a 5MP front-facing shooter, the handset also features a fingerprint scanner. The smartphone is backed by a 3,300mAh battery and ships with a metal unibody design. The next versions of the Redmi 5 are the Redmi 6 and the Redmi 7."	"8,188"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi Note 6 Pro	"The Xiaomi Redmi Note 6 Pro is the successor to the Redmi Note 5 Pro. The smartphone comes with a 6.26-inch display. The display has Full HD+ resolution, Gorilla Glass protection, and bezel-less design with a notch. The device has a Qualcomm Snapdragon 636 processor. The Redmi Note 6 Pro comes in two RAM variants. The base variant has 4GB of RAM, while the other variant has 6GB of RAM. Both of them have 64GB of storage."	null	
Mi Phones	Xiaomi Redmi Note 5 64GB	"Xiaomi released the Redmi Note 5 in February 2018. The smartphone features a 5.9-inch Full HD+ IPS display with an 18:9 aspect ratio. The next version of this smartphone is the Redmi Note 5 Pro. This is the 64GB variant, and Xiaomi also offers a 32GB model. The phone uses a 2.0GHz octa-core Snapdragon 625 SoC paired with 4GB of RAM. The other variant of this smartphone is the Redmi Note 5 32GB. The device is powered by a 4,000mAh battery under the hood while running the Android 7.1.2 Nougat based MIUI 9 operating system. It is a dual-SIM capable device which uses a hybrid SIM slot that can utilise up to 128 GB of expandable storage using a microSD card. The rear camera is a 12MP shooter with dual-LED flash, while the front has a 5MP camera."	"8,499"	"https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/14126-77-1.jpg"
Mi Phones	Xiaomi Redmi Note 8 Pro 128GB	"Xiaomi Redmi Note 8 Pro 128GB Price starts at Rs. 15,999. The lowest price of Xiaomi Redmi Note 8 Pro 128GB is at Amazon, which is 3% less than the cost of Redmi Note 8 Pro 128GB at Flipkart (Rs. 16459). This phone is available in 64 GB, 128 GB, 128 GB storage variants. Xiaomi Redmi Note 8 Pro 128GB is available in Gamma Green, Shadow Black, Electric Blue, White, Blue, Black, Green, Halo White colours across various online stores in India."	"15,999"	"https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/16073-74-1.jpg"
Mi Phones	Xiaomi Redmi 7A	"The Redmi 7A is an entry-level handset from Xiaomi that will be positioned below the company’s existing Redmi 7 lineup. The Redmi 7A succeeds its predecessor from 2018, the Redmi 6A which was well received by budget-conscious consumers in several countries. The Redmi 7A features a 5.45-inch HD+ IPS LCD display and comes powered by a competent, Snapdragon 439 processor as well making it a very good handset for the first time smartphone buyer on a tight budget. There's 2GB RAM, 16GB storage, and a dedicated microSD card slot. It also gets a set of good cameras (12MP Sony IMX486 on the rear, 5MP on the front) making for a nice phone to start your mobile photography journey. It is powered by a 4000mAh battery and features a microUSB port as well as a 3.5mm headphone jack. The latest Xiaomi smartphone you may want to watch out for is the Redmi 8A."	"4,999"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Mi A3	"The Mi A3 from Xiaomi is the newest addition to the brand’s lineup of Android One handsets. It is also a significant upgrade over its predecessor, with the first major change being with its 6-inch AMOLED screen that houses an in-display fingerprint scanner and gets Gorilla Glass 5 protection. Sadly, the display resolution had to go down to 1560 x 720 to keep the phone’s price in check. Powering this smartphone is a Qualcomm Snapdragon 665 SoC that has been paired with 4GB of LPDDR4x RAM and 64GB of UFS 2.1 flash storage. For software, the Mi A3 comes loaded with near-stock Android 9 Pie OS."	null	
Mi Phones	Xiaomi Redmi Note 8 32GB	"Xiaomi Redmi Note 8 32GB Price starts at Rs. 10,938. The lowest price of Xiaomi Redmi Note 8 32GB is at Flipkart, which is 8% less than the cost of Redmi Note 8 32GB at Amazon (Rs. 11895). This phone is available in 32 GB, 64 GB, 128 GB storage variants. Xiaomi Redmi Note 8 32GB is available in White, Black, Blue, Moonlight White colours across various online stores in India."	"9,899"	"https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/16157-14-1.jpg"
Mi Phones	Xiaomi Redmi Y2	"The Xiaomi Redmi Y2  is a budget offering from the Chinese manufacturer that boasts a 5.99-inch HD+ display. Out of the box, the phone comes loaded with Android Oreo OS with an EMUi skin on top. The smartphone is powered by a Snapdragon 625 chipset and 3GB RAM. It offers 32GB of storage which can be further expanded via a microSD card. This entry-level phone does feature a fingerprint sensor. The device is armed with a 16MP front and a 12+5MP dual rear camera. It is backed up by a 3,080mAh battery. The other Xiaomi mobile phones you may be interested in are the Redmi Y3, Redmi K20, and the Redmi K20 Pro."	"7,788"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi 6 Pro	"Redmi 6 Pro is powered by a 2GHz octa-core Snapdragon 625 chipset and 3GB of RAM. The device runs on Android 8.1 Oreo with the MIUI 9.6 skin over it. For imaging, the handset is armed with dual 12+5MP rear and a 5MP front-facing shooter. Exceptional battery backup can be had thanks to its massive 4,000mAh battery. Boasting a 5.84-inch Full HD+ display, the device has 32GB of expandable internal storage space. There is support for VoLTE along with two SIM slots. The other Xiaomi mobile phones you may be interested in are the Redmi 7 Pro, Redmi K20, and the Redmi K20 Pro."	"8,199"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi K20	"The Xiaomi Redmi K20 is a mid-range smartphone. It is a slightly upgraded Redmi phone aimed at the consumers who won’t mind spending more than the conventional Redmi budget phone. With its high-end specs, the Redmi K20 occupies one of the top spots in Redmi’s portfolio. The phone is stacked with flagship-level features such as an in-display fingerprint sensor, AMOLED display, pop-up selfie camera, DC Dimming support, and more."	null	
