web-scraper-order,web-scraper-start-url,computer-name-link,computer-name-link-href,name,price,image-src,description
"1579253354-135","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP Pavilion x360 14-CD0050TU Laptop","https://www.mysmartprice.com/computer/hp-pavilion-x360-14-cd0050tu-laptop-msf540323","HP Pavilion x360 14-CD0050TU Laptop","62,900","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/540323-45-1.jpg","Fingerprint Reader, Convertible, Full HD Touchscreen, Inking Pen, Backlit keyboard, Bluetooth, Solid State Hybrid Drive (SSHD), MS Office Home & Student 201614 inch diagonal FHD IPS Micro-Edge WLED-backlit multitouch-enabled (1920 x 1080) Touchscreen Display8th Gen Intel Core i3-8130U (2.2 GHz base frequency, up to 3.4 GHz with Intel Turbo Boost Technology, 4 MB cache, 2 cores)1 TB 5400 rpm SATA Solid State Hard Drive (SSHD) with 8 GB NAND Flash Memory for Fast Bootup, HP ProtectSmart HDD Protec"
"1579254278-146","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15-BS658TU Laptop","https://www.mysmartprice.com/computer/hp-15-bs658tu-laptop-msf541299","HP 15-BS658TU Laptop","28,586","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/541299-45-1.jpg","Sparkling Black"
"1579253361-136","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15-BS179TX Laptop","https://www.mysmartprice.com/computer/hp-15-bs179tx-laptop-msf528492","HP 15-BS179TX Laptop","46,300","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/528492-77-1.jpg","4 cell"
"1579254253-144","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP Pavilion x360 14-CD0080TU Laptop","https://www.mysmartprice.com/computer/hp-pavilion-x360-14-cd0080tu-laptop-msf538778","HP Pavilion x360 14-CD0080TU Laptop","65,980","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/538778-85-1.jpg","Wired"
"1579254282-147","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP (15Q-DS0017TU) Laptop","https://www.mysmartprice.com/computer/hp--15q-ds0017tu--laptop-msf542572","HP (15Q-DS0017TU) Laptop","31,990","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/542572-53-1.jpg","Sparkling Black"
"1579253819-141","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15Q-BU021TU Laptop","https://www.mysmartprice.com/computer/hp-15q-bu021tu-laptop-msf536052","HP 15Q-BU021TU Laptop","30,000","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/536052-70-1.jpg","Smoke Grey"
"1579255237-151","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15-BS164TU Laptop","https://www.mysmartprice.com/computer/hp-15-bs164tu-laptop-msf536814","HP 15-BS164TU Laptop","40,274","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/536814-74-1.jpg","Disclaimer: Specifications shown may be different from the actual product. We cannot guarantee that the information provided on this page is 100% correct. Please check with the retailer before purchasing."
"1579253825-142","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP Pavilion x360 14-CD0087TU Laptop","https://www.mysmartprice.com/computer/hp-pavilion-x360-14-cd0087tu-laptop-msf538992","HP Pavilion x360 14-CD0087TU Laptop","72,000","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/538992-93-1.jpg","8 GB"
"1579253346-134","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15-BS180TX Laptop","https://www.mysmartprice.com/computer/hp-15-bs180tx-laptop-msf528163","HP 15-BS180TX Laptop","50,999","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/528163-9-1.jpg","Disclaimer: Specifications shown may be different from the actual product. We cannot guarantee that the information provided on this page is 100% correct. Please check with the retailer before purchasing."
"1579254287-148","https://www.mysmartprice.com/computer/pricelist/hp-laptop-price-list-in-india.html","HP 15-BS179TX Laptop","https://www.mysmartprice.com/computer/hp-15-bs179tx-laptop-msf527979","HP 15-BS179TX Laptop","44,994","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/527979-33-1.jpg","Disclaimer: Specifications shown may be different from the actual product. We cannot guarantee that the information provided on this page is 100% correct. Please check with the retailer before purchasing."
