web-scraper-order,web-scraper-start-url,mobile-categories,mobile-categories-href,sub-mobile-categories,sub-mobile-categories-href,name,description,price,image-src
"1579244921-55","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy A8 Star","https://www.mysmartprice.com/mobile/samsung-galaxy-a-star-msp14734","Samsung Galaxy A8 Star","Samsung Galaxy A8 Star Price starts at Rs. 22,990. The lowest price of Samsung Galaxy A8 Star is at Flipkart, which is 16% less than the cost of Galaxy A8 Star at Shopclues (Rs. 27499). This phone is available in 64 GB, 64 GB storage variants. Samsung Galaxy A8 Star is available in Black, White colours across various online stores in India.","22,199","https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
"1579245646-58","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy S10 Plus","https://www.mysmartprice.com/gear/galaxy-s10-plus/","Samsung Galaxy S10 Plus","Summary:  The Galaxy S10+'s Dynamic AMOLED screen is second to none and the company offers various features such as HDR10+ playback, stereo speakers, and a dedicated 3.5mm headphone jack to make it a multimedia champion. The phone's rear-facing camera is excellent, except its low-light imaging, which is above average in comparison. The phone's performance is generally fast, but the Exynos 9820 throttles under continuous stress. One UI is the best custom Android UI and it offers extensive software features and UI customizability, without overwhelming the user. The phone's charging speed is too slow as per 2019 standards. Still, all things considered, the Galaxy S10 Plus is definitely one of the best smartphones of 2019.","null",""
"1579245318-56","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy M10","https://www.mysmartprice.com/gear/samsung-galaxy-m10/","Samsung Galaxy M10","Summary:  The Samsung Galaxy M10 cannot be called value for money device as there are much better alternatives available in the market. However, for the ones who have made up their mind to get a Samsung phone in the budget, they should only buy this phone if ready to make-do with mediocre performance.","null",""
"1579246003-60","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy M30 32GB","https://www.mysmartprice.com/mobile/samsung-galaxy-m30-32gb-msp16007","Samsung Galaxy M30 32GB","Samsung Galaxy M30 32GB Price starts at Rs. 9,499. The lowest price of Samsung Galaxy M30 32GB is at Amazon, which is 17% less than the cost of Galaxy M30 32GB at Tatacliq (Rs. 11399). This phone is available in 32 GB, 64 GB, 128 GB storage variants. Samsung Galaxy M30 32GB is available in Blue, Stainless Black, Black colours across various online stores in India.","9,499","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/16007-7-1.jpg"
"1579244276-51","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy S7 Edge","https://www.mysmartprice.com/mobile/samsung-galaxy-s7-edge-msp9484","Samsung Galaxy S7 Edge","Samsung Galaxy S7 Edge Price starts at Rs. 28,499. The lowest price of Samsung Galaxy S7 Edge is at Flipkart. Galaxy S7 Edge is not available in other online stores. This phone is available in 32 GB, 128 GB storage variants. Samsung Galaxy S7 Edge is available in Gold, Black, Silver, Blue colours across various online stores in India.","28,499","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/9484-26-1.jpg"
"1579245981-59","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy A20s 64GB","https://www.mysmartprice.com/mobile/samsung-galaxy-a20s-64gb-msp16043","Samsung Galaxy A20s 64GB","Samsung Galaxy A20s 64GB Price starts at Rs. 13,999. The lowest price of Samsung Galaxy A20s 64GB is at Amazon, which is of same price as the cost of Galaxy A20s 64GB at Tatacliq (Rs. 13999). This phone is available in 32 GB, 64 GB storage variants. Samsung Galaxy A20s 64GB is available in Black, Blue, Green colours across various online stores in India.","13,999","https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/16043-88-1.jpg"
"1579244847-54","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy Note 8","https://www.mysmartprice.com/mobile/samsung-galaxy-note-8-msp11918","Samsung Galaxy Note 8","Samsung Galaxy Note 8 Price starts at Rs. 49,999. The lowest price of Samsung Galaxy Note 8 is at Amazon, which is 17% less than the cost of Galaxy Note 8 at Flipkart (Rs. 59900). This phone is available in 64 GB, 128 GB, 256 GB storage variants. Samsung Galaxy Note 8 is available in Midnight Black, Orchid Grey, Black, Gold, Grey colours across various online stores in India.","42,990","https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
"1579245454-57","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy Note 10 Plus","https://www.mysmartprice.com/gear/samsung-galaxy-note-10-plus/","Samsung Galaxy Note 10 Plus","Summary:  The Galaxy Note 10 Plus is among the best high-end phones you can buy right now. Apart from the missing headphone jack, thereâ€™s nothing else that I could think of, being particularly bad on the phone. It has an eye-catching design, it feels thinner than it actually is, and it has the best display in the smartphone business, as of 2019. The Exynos 9825 brings speed and smoothness, and One UI is one of the nicest feeling software in the business. All four cameras on the phone are excellent. While the Note 10 Plus canâ€™t quite reach the level and clarity of the P30 Proâ€™s camera in low-light conditions, it more than makes up for it in the video recording capability. The phone has dozens of useful features, including Samsung Pay and water resistance. Battery life is good, too, but not among the best in the business. All-in-all, it is one of the best phones released in 2019.","null",""
"1579244580-52","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy A9 (2018)","https://www.mysmartprice.com/gear/samsung-galaxy-a9/","Samsung Galaxy A9 (2018)","Summary:  In the race to stand out in this competitive market, Samsung has debuted the Galaxy A9 (2018) which boasts a quad camera setup at the back. While this setup does open a great degree of possibilities, the resulting images are simply not up to the mark. The battery on this phone is quite good, but the lacking performance makes it hard to justify the phone's price.","null",""
"1579244837-53","https://www.mysmartprice.com/mobile/","Samsung Phones","https://www.mysmartprice.com/mobile/pricelist/samsung-mobile-price-list-in-india.html","Samsung Galaxy A2 Core","https://www.mysmartprice.com/gear/samsung-galaxy-a2-core/","Samsung Galaxy A2 Core","Summary:  The Samsung Galaxy A2 Core is a classic example of what phones were available in the budget range before the Chinese wave of smartphone makers like Xiaomi, Oppo, and Vivo entered India. Today it would make no sense to purchase this phone because you get far better features and specs in the budget range.","null",""
